,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
141,1C,22,2100-2300,30-200,1.9589183240794965,-0.0005093100679271525,0.017787821069341205,0.0001946630085615291,0.9853529039601264
142,1C,23,2100-2300,30-200,-0.20413430028361057,-0.00021092548798388653,0.015806161294850837,0.0001728694424711669,0.9892337429570259
143,1C,24,2100-2300,30-200,1.8863408988936046,-0.0004178970446503941,0.015999805684369473,0.00017504919312070425,0.9786171411558336
144,1C,1,2300-2500,30-200,1.005479400195634,-0.0005107652674906189,0.016596412813549923,0.00018150253903930012,0.9658129285183535
145,1C,2,2300-2500,30-200,-0.643560746609585,-0.00037635613428343675,0.024242982828974663,0.00026524920184635984,0.9143613849358095
146,1C,3,2300-2500,30-200,2.6007374218601975,-0.0004723789116680936,0.019144773323323875,0.00020934756073551653,0.8760182787044759
147,1C,4,2300-2500,30-200,1.269264529065873,-0.000249656362143503,0.02036928388186836,0.00022273665047532274,0.9700914722421944
148,1C,5,2300-2500,30-200,4.602783265792075,-0.0003533348881354107,0.02390036537414559,0.00026140660415424096,1.090116476770579
149,1C,6,2300-2500,30-200,3.126782811851107,-0.0006957717320091557,0.019560804788327446,0.0002138909482885984,0.990746932357352
150,1C,7,2300-2500,30-200,3.003548751675502,-0.000303042623071172,0.0189658426467416,0.000207440991975968,0.9643791121601681
151,1C,8,2300-2500,30-200,2.902812693777549,-0.0004200060314873446,0.02013542172046237,0.0002202869833595745,0.942974514009523
152,1C,9,2300-2500,30-200,-0.24897928073468978,-0.0008547267854283193,0.022128129004036736,0.00024205437664599446,1.0541083431054004
153,1C,10,2300-2500,30-200,1.76684428907438,-0.0007437985350066062,0.018996953444761027,0.00020778464756606878,0.9080946273602022
154,1C,11,2300-2500,30-200,-0.06205251442957038,-0.0007335252405837136,0.01643029025765469,0.00017966565997414732,0.9146589114596849
155,1C,12,2300-2500,30-200,-0.9013847883068233,-0.0008219149047351357,0.016921999879729137,0.00018517949661014905,0.9915003495140721
156,1C,13,2300-2500,30-200,1.4668044386923564,-0.0006306214168650593,0.01662882079873997,0.0001819006641392469,1.1250320144241255
157,1C,14,2300-2500,30-200,0.5189151538798439,-0.0008375731451428278,0.01788708799642998,0.00019564265168408804,0.9529649176390246
158,1C,15,2300-2500,30-200,1.160425962987118,-0.0005814921439749922,0.018492249820681053,0.00020225626004374513,0.922469065314813
159,1C,16,2300-2500,30-200,-0.6193447011855102,-0.0010802575741290568,0.021064592814808485,0.00023035059176130726,1.0443880808734918
160,1C,17,2300-2500,30-200,0.3310344577220204,-0.000739598941248697,0.018356043379205315,0.00020077046037267866,0.9207069909036991
161,1C,18,2300-2500,30-200,1.5047469569872147,-0.00033195206230220685,0.016390404359262423,0.00017931759641915803,0.9473458038047854
162,1C,19,2300-2500,30-200,-0.7741089962834207,-0.00047392020379327947,0.015609291323397624,0.0001707841707610362,0.956716091227686
163,1C,20,2300-2500,30-200,1.1564199176047605,-0.0005785026676393653,0.017237226238317128,0.00018859722687464292,0.8441160562501441
164,1C,21,2300-2500,30-200,1.6250224233087118,-0.0003365348912811422,0.020568717718261676,0.00022500641167861753,0.9144112002204811
165,1C,22,2300-2500,30-200,3.021526618610518,-0.0009809842871738737,0.023538469747280348,0.0002575262479446542,1.0439658309532633
166,1C,23,2300-2500,30-200,-0.5983544005573211,-0.00031904351579540723,0.019499696243782724,0.00021319582407032287,1.020398910313245
167,1C,24,2300-2500,30-200,1.864398059216478,-0.0005629327442031407,0.017964784787643684,0.0001966165225793465,0.8852896851041575
168,1C,1,2500-2700,30-200,0.809543621259103,-0.0007691540334230431,0.021190351877339926,0.0002317837373025325,1.0095387009473862
169,1C,2,2500-2700,30-200,-1.4707078162349314,-0.000294231401246139,0.03739605137274633,0.0004092155789940289,1.1196430245360105
170,1C,3,2500-2700,30-200,4.577936125413836,-0.00010408033325373454,0.03037009570267511,0.0003322149822640775,1.058156662752961
171,1C,4,2500-2700,30-200,1.3141521411230475,-0.00048195361545623586,0.027262076418639047,0.00029809216448382664,0.8857240373095849
172,1C,5,2500-2700,30-200,6.971927019999311,-0.0004648077329627533,0.033777169704190084,0.0003694146933859081,0.8787589302676114
173,1C,6,2500-2700,30-200,2.6074041933353564,-0.0011709301431042417,0.027450103763319193,0.000300117442232316,0.9375067171653824
174,1C,7,2500-2700,30-200,3.2433923680609875,-0.00039143092627624376,0.024281565878476734,0.000265626749219811,0.94364046129473
175,1C,8,2500-2700,30-200,4.601550218412255,-0.0009238726900182841,0.02899215689010258,0.0003171474496742183,0.9653786949417825
176,1C,9,2500-2700,30-200,-2.0155042985750726,-0.0005595598988750029,0.03187010063716303,0.0003486920208141426,1.10871318458299
177,1C,10,2500-2700,30-200,3.332430733485471,-0.0006356794975666325,0.027929652536406533,0.0003053792755163533,1.029051675037949
178,1C,11,2500-2700,30-200,-0.3750719120121433,-0.0008454445388763534,0.021879344018998395,0.00023927291436839595,0.933164221201538
179,1C,12,2500-2700,30-200,-0.327721653986798,-0.0006010150935150296,0.01955374800590464,0.00021387476696873371,0.8723672424913903
180,1C,13,2500-2700,30-200,1.5862150489461917,-0.0003609327935962531,0.01801924504507125,0.00019710332706576392,0.9005692301823407
181,1C,14,2500-2700,30-200,-0.15458509682972243,-0.0009580028948009392,0.02139436385544056,0.00023392169839331746,0.9266773033943896
182,1C,15,2500-2700,30-200,1.2168107737452791,-0.0005690638936187211,0.028010272693740016,0.0003066427222689179,1.0508018564993005
183,1C,16,2500-2700,30-200,-0.7647651287241577,-0.0015435490919850896,0.030993647129772057,0.0003391570156742449,1.1794776500371542
184,1C,17,2500-2700,30-200,-0.6953801819752994,-0.0006639656611521982,0.02414153498517705,0.0002639732817408023,0.8834518057750704
